strasbourg,3417,3,11
parlamentet,1763,3,967
europa-parlamentet,1022,3,6284
eu-parlamentet,2365,3,277
europÃ¦isk,1949,3,9
eus,2039,3,15
bruxelles,770,3,4483
storbritannien,1743,2,3307
grÃ¦kenland,2451,2,1617
spanien,3499,2,33
kommissionen,1854,3,203
merkel,3224,1,364
europÃ¦iske,686,3,10146
messerschmidt,1894,1,1324
briterne,2700,1,549
grÃ¦ske,4847,1,5
britiske,2436,1,395
folkebevÃ¦gelsen,3591,2,6
gruppe,586,0,28
eu-kommissionen,2962,3,3
brexit,2756,3,107
europa,281,3,14789
frankrig,1340,1,635
folkeafstemning,2105,2,650
danskerne,184,1,2504
indre,2340,2,5
bevÃ¦gelighed,2865,2,475
venstreflÃ¸jen,1204,0,188
samarbejde,208,1,5720
morten,340,0,9037
fri,440,1,1008
velfærdsydelser,3873,0,7
lande,201,2,13351
stemme,149,1,13696
david,3365,0,26
marked,1846,2,6
forbudt,2521,0,461
farlige,2386,0,652
hormonforstyrrende,4022,1,1300
bendt,4223,0,54
fælles,187,2,2015
stoffer,1916,0,4251
margrethe,1425,0,3481
forbyde,1861,0,1985
produkter,1802,1,1074
tyske,1697,2,682
forbud,1130,0,3981
vestager,1471,2,3123
tyskland,986,2,3988
solidaritet,1430,0,15
franske,1991,2,135
ydelser,1333,0,216
stemmer,290,0,6932
margrete,4772,2,25
østergaard,1027,0,4357
husk,563,0,1068
ryge,2226,0,2180
bendtsen,4930,0,14
macron,5381,2,54
står,37,0,6858
radikale,121,0,8287
le,4704,0,46
forbrugerne,2541,0,15
jeppe,2752,0,102
regler,418,1,4649
helveg,2959,0,357
stem,909,0,2766
kryds,1405,0,775
__url__,2,-1,149332
tværs,900,0,143
krydser,2908,1,130
vedtaget,784,0,158
radikal,1717,0,162
petersen,2056,0,299
christel,4848,0,51
løsninger,391,1,4506
fingre,2234,0,342
enhedslistens,1111,0,148
reglerne,847,1,1589
bestemme,765,1,94
medlemmer,546,0,71
bødskov,4092,0,115
venstres,271,0,6803
dethandlerommennesker,899,0,1288
partiet,841,0,53
valget,277,0,7295
dyrevelfærd,1715,0,3377
lovgivning,877,1,1140
kandidater,1134,0,1887
udfordringer,380,0,2818
blog,1292,0,249
c3,1190,1,4464
fællesskab,346,1,1840
linket,1356,0,71
vigtig,386,0,43
crown,4967,0,29
følge,223,0,171
lade,220,0,344
love,937,0,250
tænk,553,0,96
løse,606,1,3502
schmidt-nielsen,5041,0,75
parti,233,0,9048
værste,1195,0,57
vist,365,0,58
farvel,1582,0,238
liberale,1008,0,542
hvert,262,0,6883
dr2,1512,0,1086
gad,1960,0,169
vigtigt,88,0,1145
alligevel,253,0,295
link,1020,0,120
joachim,2068,0,2537
fald,396,0,6713
sidder,286,0,1252
lykkedes,594,0,507
gange,264,0,401
send,1423,0,490
valgt,338,0,772
juncker,4367,1,334
ungarn,6672,1,3
cameron,4602,1,667
kommissær,6978,2,2
holland,3020,1,234
nedskæringspolitik,5654,0,189
ep,3397,2,348
afstemning,2311,1,427
uk,5279,1,42
rådet,4566,1,2
folkeafstemningen,4732,1,14
medlemskab,4923,1,3
afstemningen,3054,1,402
storbritanniens,5988,1,45
italien,4955,1,23
eu-lande,3300,3,154
arbejdskraftens,9298,1,2
befolkningerne,6637,1,3
premierminister,4112,0,28
suverænitet,4470,1,224
anbefaler,2371,0,271
hollandske,5742,1,16
folkebevægelsens,7162,1,3
polen,5137,1,10
grækerne,9282,1,2
tsipras,10693,0,2
forpligtende,5466,1,13
berlin,3386,1,27
forbehold,5528,1,5
fransk,5704,1,6
østrig,6827,1,6
eu-borgere,6079,3,68
england,2892,1,119
pen,6970,1,23
tyskerne,4466,1,28
spanske,6330,1,4
ttip,6860,1,40
ronja,6134,1,79
angela,7174,1,21
ceta,5380,1,525
december,1006,0,3293
fremme,1477,0,39
rumænien,7373,1,5
kari,7937,0,8
tysk,4106,1,106
børnecheck,5504,0,172
norge,1252,1,6125
progressive,3745,0,24
dk,556,0,580
eu-midler,8898,3,6
front,3518,0,6
nordiske,2168,0,4736
svenskerne,4332,1,645
magt,1232,0,1750
norske,3156,1,2926
vinde,1324,0,140
fremgang,1759,0,166
post,2744,0,71
patent,5410,0,4
plastikposer,8374,0,6
sammenligner,5638,0,5
børnechecken,5987,0,22
venstrefløj,4292,0,15
svensk,4403,1,507
internationalt,1741,0,351
canada,4711,0,83
befolkning,1198,0,202
auken,2507,0,1843
indflydelse,806,0,746
kaos,3553,0,4
