dagpengene,2783,3,10
falder,859,1,2
dagpengesystem,2439,3,677
ledige,801,3,6683
dagpengesystemet,1420,3,5311
lÃ¸sning,330,1,6278
dagpenge,869,3,6675
arbejdslÃ¸se,794,3,7755
job,185,2,10320
arbejdsmarkedet,754,3,4518
jobs,641,3,673
ufaglÃ¦rte,3464,3,5
forsÃ¸rgelse,2430,2,17
fÃ¸rtidspension,2730,3,750
handicap,2281,1,94
arbejde,14,3,57055
handicappede,2549,1,10
fagbevÃ¦gelsen,2579,3,15
arbejder,203,3,781
lo,2154,3,84
systemet,846,1,65
sf,38,0,32095
arbejdsmarked,1287,3,144
mennesker,11,1,85064
fagforening,3606,3,53
regeringen,13,1,67210
folk,52,0,21936
olsen,708,0,6584
timers,1707,1,241
pia,480,0,7886
model,1035,1,234
giver,54,0,4489
dyhr,1323,0,5552
social,317,0,8009
ryanair,3192,1,118
ugen,1029,1,72
aftale,194,1,8486
oven,1764,0,273
aftalen,494,1,6072
ordentligt,966,0,110
vilkår,532,1,745
finde,90,0,4778
inden,137,0,922
ordentlige,1491,0,1149
indgået,1145,1,2548
langtidsledige,5394,3,23
jobbet,3323,3,7
falde,1677,0,2029
miste,1455,1,575
arbejdsgiverne,4118,3,3
ledighed,5415,3,3
mister,1209,1,287
mistet,1066,1,1327
passiv,4968,1,20
arbejdsgivere,3241,3,69
stillinger,4565,1,6
metal,4724,0,4
reform,1092,1,162
efteruddannelse,2735,1,38
fagforeninger,3108,1,147
genoptjeningsperioden,7277,3,3
arbejdsgiver,4015,3,16
fleksjob,6135,3,322
overenskomst,3292,3,73
lønninger,2890,3,31
hk,5750,1,2
arbejdsliv,3165,3,341
dovne,5148,1,139
rådighed,1988,1,121
ydelse,3666,1,18
ressourceforløb,6995,2,148
efterløn,4508,1,9
kompetencer,2049,1,124
målrettet,1705,1,66
sygedagpenge,6530,3,91
arbejdstiden,3919,3,204
hænge,1575,0,956
arbejdere,4074,3,4
arbejdsmiljø,2158,3,54
står,37,0,6823
ankestyrelsen,7295,0,13
fritidsjob,7311,3,4
offentlig,773,1,1511
forbedringer,1811,1,39
istedet,1206,0,211
løn,613,3,7626
hverdagen,1104,1,900
arbejdsforhold,2661,3,98
social-,3525,0,25
foreslår,347,0,1066
dumping,874,1,7700
mulighed,119,0,4088
borger,1468,0,106
chance,1248,1,177
udføre,3331,1,7
modtager,1493,1,136
fælledparken,6519,1,15
arbejdsplads,1983,3,36
3f,1188,1,6890
urimeligt,1687,1,9
hverdag,854,0,710
indsatser,3582,1,13
regel,2846,0,10
jørn,3685,0,149
klare,496,0,531
dam,5249,0,112
udbetalt,4303,1,24
centrum,1745,0,95
borgeren,3447,0,64
gider,2064,0,659
gengæld,505,0,971
mening,416,0,2181
stedet,93,0,4604
svært,183,0,5643
meningen,2552,0,29
presset,940,1,145
kommet,213,0,1723
konkret,875,0,167
kongres,3046,0,394
reel,1465,0,106
clausen,4275,0,679
slut,802,0,148
stykke,1331,0,152
tredje,1484,0,27
joachim,2068,0,3549
kristensen,2627,0,716
ren,1478,0,154
sagtens,1614,0,222
arbejdet,352,3,4839
rigtigt,324,0,1720
kigge,1114,0,227
bred,1383,0,2941
forhandlingerne,839,1,3939
christensen,1549,0,1818
