jorden,1354,2,11
klima,1191,3,1449
energi,547,3,7655
grÃ¸nt,1132,3,4
bÃ¦redygtige,1978,3,3
vedvarende,1770,3,3537
omstilling,432,3,11081
olie,1884,2,767
ambitioner,1345,2,7
kul,2526,2,232
klimaet,1254,3,4476
co2,2545,3,11
klimaforandringerne,2664,3,314
gas,2278,3,77
globale,2033,2,44
fossile,3190,3,16
vindmÃ¸ller,1731,3,568
cop,2298,2,1511
tilladelse,3240,0,8
klimaaftale,4560,3,3
grundvand,3735,3,158
drikkevand,2755,3,533
klimatopmÃ¸det,4130,3,7
grÃ¸n,322,2,9977
fremtid,364,1,319
stoppe,497,0,2324
paris,772,1,9522
bÃ¦redygtighed,1907,3,16
total,1786,0,3903
generationer,1337,1,4
nordjylland,926,1,3518
kemikalier,3899,3,7
dyrene,3968,3,66
elbiler,2963,3,158
skove,4521,2,15
verdens,299,2,6068
frederikshavn,3218,0,9
stop,550,1,525
dyrenes,4553,2,69
dyremishandling,5877,3,7
iværksætteri,2129,1,12
beskyttelse,1599,2,6
kampen,210,1,1987
verden,65,2,24121
produktion,1539,1,138
økologiske,1823,3,2684
elbæk,1438,1,3028
økologisk,1655,3,2635
svin,3930,1,37
antibiotika,4771,1,101
uffe,774,1,6790
dyr,935,2,3378
alternativets,551,1,8938
landbrug,545,2,10346
alternativet,97,1,15035
økologi,1302,3,5932
maria,2725,0,547
byens,1378,0,1004
skov,2925,1,695
torsten,3406,0,62
natur,518,2,10066
amager,2496,0,334
nordsøen,3761,1,75
fødevarer,1192,1,6065
mrsa,4831,0,81
passe,598,0,28
auken,2507,0,839
plads,152,0,2061
hund,4215,0,13
havet,3014,1,253
3,158,0,9831
miljø,582,3,6244
vandet,2797,2,181
cykler,3200,2,28
dk,556,0,44
nordjyske,1742,0,229
københavnske,2058,0,26
naturen,902,3,6840
josephine,2876,0,89
politisk,69,0,20184
handling,685,1,306
kød,2015,1,2998
smukke,1277,0,18
politiske,68,0,21197
landmænd,1554,1,3463
jørgensen,1633,0,2030
landbruget,918,1,7338
rasmus,734,0,2661
dan,1427,0,2926
christian,696,0,3259
vand,1051,1,1131
ida,3230,0,140
grønlandske,4105,0,751
største,268,0,213
byen,617,0,6158
svend,3636,0,29
vestjylland,2726,0,133
siger,24,0,34361
by,449,0,8094
klart,217,0,64
mål,334,1,405
lyst,410,0,338
medlem,555,0,204
lunde,2727,1,837
eva,1545,0,3851
landbrugspakken,2005,2,3629
miljøet,1028,3,2480
rød,941,0,2715
esben,2150,1,1978
pernille,2138,0,1204
kjer,2642,0,1672
køre,880,1,4000
el,1318,2,87
sfs,1790,1,434
kommende,174,0,507
klar,114,0,829
viborg,1534,0,83
dsb,2938,0,1647
retning,471,0,1823
hilsen,1243,0,163
barsel,2045,0,1580
hansen,997,0,4561
valgkamp,612,0,3207
byråd,1426,0,2497
facebook,450,0,7911
skriv,779,0,3250
kollektive,2940,0,953
dele,232,0,4349
valgkampen,522,0,2099
glad,128,0,6943
klima-,2599,3,185
planet,4946,1,1
kloden,3024,3,88
børnebørn,2444,1,400
omlægning,4196,1,3
ambitiøse,2336,1,102
omstillingen,4568,1,17
ambitiøs,2185,1,31
satse,2389,1,7
global,2809,1,134
luftforurening,7305,3,2
overholdes,5914,1,1
kystnære,4313,1,91
strøm,4280,1,21
benzin,5389,1,2
konventionelle,5764,1,5
forurening,3095,3,38
landbrugets,2870,1,376
ledere,1476,1,83
boringer,5554,1,1202
vandløb,4064,1,372
naturpakke,6404,3,5
dybvad,5082,0,72
fracking,6282,3,168
generation,1421,1,380
hunde,5678,0,69
landmand,4192,1,40
reducere,1873,1,45
landmændene,4148,1,23
landbrugspakke,3358,1,817
jord,2327,1,11
naturfredningsforening,4533,3,18
biodiversitet,5880,3,52
miljø-,2358,3,136
vilde,2519,1,134
jordens,5445,1,3
seriøs,3077,1,334
urørt,6620,1,33
grise,6144,1,6
miljøminister,4348,3,9
oversvømmelser,6217,1,6
arter,7631,1,3
poll,3779,0,389
producere,2765,0,41
globalt,3592,1,15
kyster,2230,1,4826
træer,5383,1,10
affald,2565,1,2454
venligrevolution,6993,0,6
forandring,2396,1,238
skoven,4684,1,5
laboratorium,5116,0,292
beskytte,1159,1,508
dennis,5134,0,188
fødevareminister,4055,1,22
kh,2362,0,421
varer,1683,0,1977
progressiv,5763,1,4
inspirere,2830,0,18
nordqvist,2995,0,2955
idéer,2144,0,439
pakken,3466,1,121
forrest,2079,0,23
spise,1330,0,5465
udviklingsbistand,3985,0,223
laboratorier,6022,0,169
tiltag,733,1,405
håb,884,1,1218
fock,3595,0,2147
partiprogram,5894,0,12
fisk,3917,1,21
opfindsomhed,7184,0,9
å,3769,1,5
sort,1163,0,323
fiskeri,5777,1,8
ambition,2325,1,10
handle,907,0,126
unikke,3711,0,50
kærlig,3075,0,129
kødforbrug,7357,2,41
visioner,1389,1,724
oksekød,8138,1,7
revolution,3671,1,15
inspireret,2401,0,13
kødet,7734,1,6
forbrugere,3506,1,40
inspiration,1403,0,497
nepal,6139,0,22
stoffer,1916,0,5537
bevare,912,1,549
