stram,1984,2,6
stramninger,1657,2,698
flygtningene,2576,3,4
asyl,1523,3,1519
integrationen,1788,3,160
nÃ¦romrÃ¥derne,1817,3,2609
udlÃ¦ndingepolitikken,2180,1,267
nÃ¸d,1497,2,10
ophold,2290,2,6
integration,1021,3,1071
flugt,1867,1,1402
udlÃ¦ndinge,1002,3,1165
bidrage,587,1,18
stÃ¸jberg,820,2,6857
udlÃ¦ndingepolitik,1304,3,1927
asylansÃ¸gere,654,3,8764
inger,981,2,4971
flygtninge,129,3,12534
hjÃ¦lpe,117,1,14030
indvandring,2681,3,22
kors,2822,0,31
land,138,1,11413
danskere,145,1,4181
statsborgerskab,1736,3,2153
statsborgere,3081,3,20
enig,61,0,8105
velkommen,601,1,26
huse,1913,1,15
del,17,0,27205
imod,87,1,4706
født,1446,1,38
dansk,12,2,62813
røde,589,0,728
antallet,486,1,5248
gøre,9,0,47080
df,47,2,31154
martin,663,1,3370
sprog,1710,2,235
gerne,16,0,35621
regering,109,0,10655
frederiksberg,1194,0,181
henriksen,1779,1,1154
forskel,357,0,783
gentofte,1957,0,1141
igen,30,0,22192
socialdemokraterne,186,0,4316
tager,57,0,3996
steget,1594,0,381
problemer,275,1,5622
svært,183,0,1393
borgmesteren,1773,0,1542
uledsagede,6640,2,2
stramme,2031,1,1054
hertil,1561,1,402
strammere,4962,1,23
lempelser,4574,1,292
strammet,4494,1,7
asylsøgere,3772,3,94
stramning,5306,1,15
migranter,3325,3,320
søge,1059,1,511
flygtningelandsbyer,8105,3,3
lempet,6884,1,5
danmark,1,1,8553
sendes,1675,1,293
middelhavet,5219,1,142
kvoteflygtninge,6951,3,13
støjbergs,5362,2,266
ikke-vestlige,5507,2,84
telte,5856,1,31
venligboerne,6080,2,26
modtage,1720,1,221
medmenneskelighed,4004,1,30
smykker,6288,1,16
statsborger,5584,1,58
afviste,2942,1,66
marius,9892,0,3
udlændinge-,6501,1,6
trampolinhuset,10576,1,2
annoncer,3759,0,239
bagerst,8083,0,4
mennesker,11,1,8553
dansker,1167,1,757
boet,4122,0,3
dobbelt,2321,0,79
pas,2108,1,90
im,7199,0,81
ødelæggelse,5043,1,11
udvises,3720,1,130
personer,528,1,1562
konventioner,4629,1,73
retskrav,8545,1,3
neergaard,9425,0,3
køen,4888,0,29
forsørge,3392,1,37
ulandsbistanden,7844,3,5
marcus,8009,0,9
flygtningekrisen,4320,3,8
opvokset,4838,1,32
sværere,1498,1,238
hjælpen,2360,1,6
protest,4573,1,3
normer,5788,1,3
nødhjælp,4077,3,47
jens,470,0,7376
konventionerne,5272,1,8
stoppes,1528,1,17
folkepartis,856,1,4365
rejse,994,1,886
vornøe,1218,0,6751
mvh,695,0,6874
mansour,8426,0,8
afvise,2887,1,9
folkeparti,77,1,8516
arabisk,6161,1,76
behandle,1357,1,162
dencker,10624,0,5
udviklingsbistanden,4251,3,107
yderligere,664,1,211
engelsk,2647,0,354
storkreds,2322,0,1956
glen,3910,0,2051
folketingskandidat,848,0,4713
syntes,2059,0,897
diverse,2461,0,254
rønn,8610,0,22
opnå,1977,0,17
bidrager,1181,1,80
verdenskrig,3988,0,9
antal,1129,1,409
dragør,7950,0,8
tide,709,0,883
magten,998,0,1967
lejre,3753,1,11
dethandlerommennesker,899,1,2731
lovede,1522,0,1369
dfs,2544,1,596
fremmede,3364,1,45
fuldstændigt,1926,0,117
hykleri,4071,0,13
poulvjensen,4125,0,92
føre,717,0,673
mener,27,0,7552
ahrendtsen,10625,0,7
kbh,1695,0,132
behandles,1495,0,99
ordentligt,966,0,1780
madsen,1997,0,2199
opføre,2429,0,652
rohde,3915,0,584
løfter,1113,0,782
