,all_frac,best_frac,best_match,best_match_dk,entropy,idx,n_matches,top_occurence,w
1,4.242158239700374,0.8999379267535692,Economy, økonom_ vækst,0.39914989278605006,60,40275,8544,skabe
2,4.657469914881127,0.9024112829845314,Economy, økonom_ vækst,0.39880529970838685,228,35168,6814,skaber
3,2.6176176176176176,0.7782738095238095,Economy, økonom_ vækst,0.8560353086280189,1726,3360,999,velstand
5,3.396859772604223,0.7820017449831734,Economy, økonom_ vækst,0.6259896794567231,538,8023,1847,skabt
9,2.2917369308600337,0.8103756708407871,Education,undervis_folkeskole_ungdomsuddan,0.7452003834728717,1849,3354,1186,familierne
12,5.118990384615385,0.9655406937202449,Education,undervis_folkeskole_ungdomsuddan,0.17482260371541508,3234,4411,832,tvungne
16,4.4,0.9166666666666666,Education,undervis_folkeskole_ungdomsuddan,0.3445982481028228,5461,24,5,tvungen
17,0.5821517931609674,0.6311030741410488,Social policy,fattig_socialt udsat_socialminis_svageste,1.264040283842089,2071,1106,1199,frivilligt
21,1.700962250185048,0.8023743016759777,Education,undervis_folkeskole_ungdomsuddan,0.8078400704387574,515,2864,1351,vælge
26,0.9877437325905293,0.7035714285714286,EU, EU _ eu,1.1300361169871986,765,2520,1795,bestemme
28,1.587688219663419,0.4404718024327313,Education,undervis_folkeskole_ungdomsuddan,1.5686887623973322,704,8139,2258,frie
29,4.2727272727272725,0.94,Education,undervis_folkeskole_ungdomsuddan,0.27788865596418943,4491,150,33,lektiecaféer
37,0.8345605514648284,0.5848062355911736,Social policy,fattig_socialt udsat_socialminis_svageste,1.5129268344906899,465,9109,6383,frivillige
39,5.472340425531915,0.9801829268292683,Education,undervis_folkeskole_ungdomsuddan,0.11803712308971048,1578,1312,235,børnenes
40,0.3619489559164733,0.32193396226415094,Elder care,hjemmehjælp_ ældre _ pension_ plejehjem,2.0265731664626143,296,3392,3017,behov
44,3.9231824417009604,0.7630736392742796,Education,undervis_folkeskole_ungdomsuddan,0.6360547246510488,1453,3748,729,bevægelse
45,6.860236220472441,0.9894946053378763,Education,undervis_folkeskole_ungdomsuddan,0.06396929219496555,1753,3522,508,læring
50,3.707547169811321,0.8361702127659575,Education,undervis_folkeskole_ungdomsuddan,0.692678758525777,1400,940,212,nationale
51,3.590669940371799,0.5350628081607053,Education,undervis_folkeskole_ungdomsuddan,1.0852812825304912,23,57397,8553,unge
57,3.044516547696301,0.8159304347826087,Education,undervis_folkeskole_ungdomsuddan,0.7428982157194014,28,28750,7705,tid
61,0.44163243672982644,0.2860453141091658,Education,undervis_folkeskole_ungdomsuddan,1.8531887422873103,116,11652,7547,liv
62,2.1758087201125176,0.8987219209914795,Education,undervis_folkeskole_ungdomsuddan,0.5064396203820366,529,15492,6399,mor
63,2.835373711340206,0.5554433575260335,Social policy,fattig_socialt udsat_socialminis_svageste,1.0201104680882451,354,31690,6208,familier
65,4.902924551486852,0.9177899434144546,Immigration,indvandr_flygt_udlænding,0.4245858990382989,117,43474,8138,hjælpe
66,3.767338517695604,0.8610708067324434,Education,undervis_folkeskole_ungdomsuddan,0.6233533645643687,224,27568,6301,livet
67,3.777601754813551,0.786277742549144,Health, sundhed,0.777048367362565,135,39425,8206,hjælp
68,6.295179866344377,0.9785174380055696,Education,undervis_folkeskole_ungdomsuddan,0.13408447710697813,567,45246,7033,voksne
70,1.0628945522562543,0.3156725227414763,Crime,kriminal_kriminel,1.81755992522809,4,28802,8554,derfor
71,1.6381394213160787,0.44831272970263947,Education,undervis_folkeskole_ungdomsuddan,1.5303094582330519,33,29930,8191,brug
72,0.4713606803401701,0.35994651895711965,Foreign affairs,udenrig_ forsvaret _militær,1.8454800358921244,20,10471,7996,gør
73,1.580101772240744,0.6596586330671745,Education,undervis_folkeskole_ungdomsuddan,1.2790656386356833,41,13651,5699,give
77,0.8917810157023625,0.5092084006462035,Education,undervis_folkeskole_ungdomsuddan,1.611509618537249,127,12380,7069,ansvar
79,2.348286911510969,0.8265660246399444,Education,undervis_folkeskole_ungdomsuddan,0.7566996268400993,667,11526,4057,familien
81,0.718480399576207,0.598537384945152,Education,undervis_folkeskole_ungdomsuddan,1.4845634990957217,350,7931,6607,familie
82,5.539205155746509,0.9906829315147441,Education,undervis_folkeskole_ungdomsuddan,0.06262086188601045,3012,10411,1862,daginstitutionerne
84,0.5547835382148584,0.4476067270375162,Science,forskning_ universitet_videregående udd,1.720700768728091,1018,4638,3742,jacob
85,4.204200700116686,0.8781379478430417,Education,undervis_folkeskole_ungdomsuddan,0.5165056678961162,3590,4103,857,barnets
86,0.8156892612338157,0.8119787717968158,Education,undervis_folkeskole_ungdomsuddan,0.8646266824003119,2971,1319,1313,morgenmad
88,3.5326345878989995,0.8082624809243514,Crime,kriminal_kriminel,0.7474835173617348,1086,9174,2099,udsat
90,2.0412371134020617,0.673733804475854,Education,undervis_folkeskole_ungdomsuddan,1.1181922498917556,1488,7641,2522,drenge
91,1.5414364640883977,0.5886075949367089,Education,undervis_folkeskole_ungdomsuddan,1.3026742087335539,3536,948,362,sex
92,2.3846153846153846,0.6906429026098027,Crime,kriminal_kriminel,0.9381956265917819,3137,1571,455,seksuelle
93,0.40179573512906847,0.5173410404624278,Education,undervis_folkeskole_ungdomsuddan,1.6889576668559356,2352,692,891,red
95,5.606108687028957,0.9893594679733987,Education,undervis_folkeskole_ungdomsuddan,0.07193474622179524,862,14285,2521,start
96,2.749561557348299,0.5787945165021782,Immigration,indvandr_flygt_udlænding,1.4113255509297251,11,40631,8553,mennesker
97,0.42862174219300303,0.46279629864368105,Religion, religi_ værdipol,1.7008118464426478,175,7889,8518,kvinder
99,0.34606551432370364,0.22454901960784313,Environment, klima_ miljø _ naturen ,2.0996453218295703,9,12750,8273,gøre
100,0.38910458626546957,0.46370734528629265,Religion, religi_ værdipol,1.6609343793070526,379,6916,8242,mænd
101,0.26403901924597944,0.4623730378578024,Religion, religi_ værdipol,1.5664338758800347,739,4332,7586,ligestilling
103,2.5105213935001167,0.6063814767753777,Health, sundhed,0.9576784299211745,15,35415,8554,bedre
104,0.5596270879192023,0.6292036686562819,Elder care,hjemmehjælp_ ældre _ pension_ plejehjem,1.3266082394768406,254,6869,7723,kommunerne
105,0.788939492517892,0.640976847446876,Elder care,hjemmehjælp_ ældre _ pension_ plejehjem,1.1651509192043243,331,9459,7685,ansatte
107,0.6090613130765057,0.5930524369303923,Religion, religi_ værdipol,1.4243213112826634,84,7571,7372,ret
108,0.3429768825199405,0.5246071133167908,Religion, religi_ værdipol,1.4123568452343493,498,4836,7397,rettigheder
110,2.9768911355840406,0.8384521509203702,Social policy,fattig_socialt udsat_socialminis_svageste,0.7074444649275154,697,19666,5539,socialt
111,0.09842798470471605,0.20795930580490724,Education,undervis_folkeskole_ungdomsuddan,2.3614036722254235,976,3342,7061,kristendemokraterne
112,0.07221006564551423,0.16849015317286653,Education,undervis_folkeskole_ungdomsuddan,2.373025220892913,1469,2742,6398,kd
113,0.29706959706959707,0.31470702367093517,Religion, religi_ værdipol,1.515099314032255,1244,5154,5460,piger
114,5.177142857142857,0.9966996699669967,Education,undervis_folkeskole_ungdomsuddan,0.02425278874727077,3208,909,175,børnehaven
116,1.5058094500387296,0.6361256544502618,Social policy,fattig_socialt udsat_socialminis_svageste,1.221593358352985,2591,3056,1291,arv
117,4.872340425531915,0.9404517453798767,Crime,kriminal_kriminel,0.2995703680294882,3878,487,94,årige
118,2.2595419847328246,0.6477024070021882,Social policy,fattig_socialt udsat_socialminis_svageste,0.9844221248868865,1505,457,131,vokser
119,0.8135672514619883,0.3380637636080871,Religion, religi_ værdipol,1.8112262341329535,64,20576,8550,samfund
120,0.5311506300789071,0.4919284467713787,Elder care,hjemmehjælp_ ældre _ pension_ plejehjem,1.508713784481104,126,9168,8491,offentlige
121,1.5097515362009084,0.487680690399137,Elder care,hjemmehjælp_ ældre _ pension_ plejehjem,0.9843151560345416,459,23175,7486,mad
124,0.9689228338161706,0.7758329818641924,Education,undervis_folkeskole_ungdomsuddan,0.9213302701530907,1197,4742,3797,køge
125,0.15161453077699294,0.2075993091537133,Religion, religi_ værdipol,2.3632568378461074,88,2895,3964,vigtigt
126,0.7428571428571429,0.7527839643652561,Education,undervis_folkeskole_ungdomsuddan,1.1325133688961713,304,449,455,alene
129,3.011636157230027,0.6268052807229983,Taxes,skat,1.1197778337768634,136,33859,7047,hjem
130,0.8897538015930485,0.5503919372900336,Immigration,indvandr_flygt_udlænding,1.594557153532008,57,8930,5524,tager
131,1.799349240780911,0.7363515312916112,Environment, klima_ miljø _ naturen ,1.058225193668119,598,2253,922,passe
132,1.6179775280898876,0.7578947368421053,Education,undervis_folkeskole_ungdomsuddan,0.9491068895282604,3647,190,89,mandlige
133,0.14639079029247043,0.43007312614259596,Religion, religi_ værdipol,1.2598238334727396,896,2188,6428,kvinde
134,1.8611898016997168,0.8948244552058111,Religion, religi_ værdipol,0.5398243662783744,255,13216,6354,hinanden
135,1.1212624584717608,0.8526315789473684,Education,undervis_folkeskole_ungdomsuddan,0.6505570616602213,2202,2375,1806,dreng
136,0.36084816357440364,0.6043119847812302,Education,undervis_folkeskole_ungdomsuddan,1.156443330581095,1769,1577,2641,pige
137,0.14203375874845617,0.42963885429638854,Education,undervis_folkeskole_ungdomsuddan,1.7210071317263955,1164,803,2429,ondt
140,4.76,0.9754098360655737,Education,undervis_folkeskole_ungdomsuddan,0.11540192550148341,2766,122,25,voksen
141,0.5844875346260388,0.8726220016542597,Taxes,skat,0.6010507251627909,1034,1209,1805,pr
142,0.5533367037411526,0.49014778325123154,Employment, beskæftig,1.669079930408171,317,8932,7912,social
143,0.5016883116883117,0.48432798395185556,Employment, beskæftig,1.6443892434161849,874,7976,7700,dumping
144,0.6055599265670076,0.5822720968352036,Employment, beskæftig,1.3744295995852198,613,7931,7626,løn
145,2.4793001478560868,0.737096596944943,Economy, økonom_ vækst,1.071332060048361,46,27299,8116,sikre
147,0.20970266040688576,0.6420260095824778,Education,undervis_folkeskole_ungdomsuddan,1.2089944382298268,1490,1461,4473,datter
150,0.5210003818251241,0.29259140130803046,Education,undervis_folkeskole_ungdomsuddan,1.9752128349675055,26,9327,5238,både
151,0.49866361206567394,0.5617204301075269,Taxes,skat,1.5645575863870886,392,2325,2619,egne
